file_name,actual,predicted,confidence
drunk_001.jpg,drunk,Drunk,0.45
drunk_002.jpg,drunk,Normal,0.1
drunk_003.jpg,drunk,Drunk,0.45
drunk_004.jpg,drunk,Normal,0.2
drunk_005.jpg,drunk,Normal,0.3
drunk_006.jpg,drunk,Drunk,0.7
drunk_007.jpg,drunk,Normal,0.2
drunk_008.jpg,drunk,Normal,0.0
drunk_009.jpg,drunk,Drunk,0.55
drunk_010.jpg,drunk,Normal,0.2
drunk_011.jpg,drunk,Normal,0.2
drunk_012.jpg,drunk,Drunk,0.7
drunk_013.jpg,drunk,Drunk,0.7
drunk_014.jpg,drunk,Drunk,0.7
drunk_015.jpg,drunk,Normal,0.1
drunk_016.jpg,drunk,Drunk,0.8
drunk_017.jpg,drunk,Drunk,0.45
drunk_018.jpg,drunk,Normal,0.0
drunk_019.jpg,drunk,Drunk,0.7
drunk_020.jpg,drunk,Drunk,0.45
normal_001.jpg,normal,Normal,0.1
normal_002.jpg,normal,Drunk,0.55
normal_003.jpg,normal,Drunk,0.7
normal_004.jpg,normal,Normal,0.2
normal_005.jpg,normal,Drunk,0.45
normal_006.jpg,normal,Normal,0.2
normal_007.jpg,normal,Normal,0.0
normal_008.jpg,normal,Normal,0.0
normal_009.jpg,normal,Normal,0.0
normal_010.jpg,normal,Normal,0.0
normal_011.jpg,normal,Normal,0.0
normal_012.jpg,normal,Normal,0.0
normal_013.jpg,normal,Normal,0.0
normal_014.jpg,normal,Normal,0.2
normal_015.jpg,normal,Normal,0.0
normal_016.jpg,normal,Drunk,0.45
normal_017.jpg,normal,Normal,0.1
normal_018.jpg,normal,Normal,0.0
normal_019.jpg,normal,Normal,0.0
normal_020.jpg,normal,Normal,0.0
