file_name,label,face_detected,left_eye_ear,right_eye_ear,avg_eye_ear,eye_diff,head_tilt,smile_proxy
drunk_001.jpg,drunk,1,0.1495,0.1293,0.1394,0.0202,-3.9,0.8606
drunk_002.jpg,drunk,1,0.3685,0.2621,0.3153,0.1064,-8.13,0.6847
drunk_003.jpg,drunk,1,0.1075,0.1883,0.1479,0.0808,6.04,0.8521
drunk_004.jpg,drunk,1,0.2286,0.2509,0.2398,0.0223,-1.0,0.7602
drunk_005.jpg,drunk,1,0.0925,0.2869,0.1897,0.1944,3.23,0.8103
drunk_006.jpg,drunk,1,0.1757,0.0895,0.1326,0.0862,-7.64,0.8674
drunk_007.jpg,drunk,1,0.2108,0.2089,0.2098,0.0019,-4.24,0.7902
drunk_008.jpg,drunk,1,0.2764,0.28,0.2782,0.0036,-0.48,0.7218
drunk_009.jpg,drunk,1,0.3093,0.1942,0.2518,0.1151,-14.38,0.7482
drunk_010.jpg,drunk,1,0.244,0.2465,0.2452,0.0025,-0.59,0.7548
drunk_011.jpg,drunk,1,0.1649,0.2313,0.1981,0.0664,6.56,0.8019
drunk_012.jpg,drunk,1,0.0994,0.0707,0.0851,0.0287,8.58,0.915
drunk_013.jpg,drunk,1,0.0994,0.0707,0.0851,0.0287,8.58,0.915
drunk_014.jpg,drunk,1,0.214,0.1255,0.1698,0.0885,-11.36,0.8302
drunk_015.jpg,drunk,1,0.2429,0.3876,0.3153,0.1447,-3.48,0.6847
drunk_016.jpg,drunk,1,0.1322,0.1425,0.1373,0.0103,35.04,0.8627
drunk_017.jpg,drunk,1,0.0908,0.1474,0.1191,0.0566,3.22,0.8809
drunk_018.jpg,drunk,1,0.2967,0.3111,0.3039,0.0144,5.13,0.6961
drunk_019.jpg,drunk,1,0.1125,0.0871,0.0998,0.0254,-9.88,0.9002
drunk_020.jpg,drunk,1,0.044,0.0524,0.0482,0.0084,-4.18,0.9518
normal_001.jpg,normal,1,0.393,0.4423,0.4177,0.0493,-7.28,0.5823
normal_002.jpg,normal,1,0.2387,0.1943,0.2165,0.0444,23.93,0.7835
normal_003.jpg,normal,1,0.1545,0.1573,0.1559,0.0028,10.11,0.8441
normal_004.jpg,normal,1,0.212,0.2127,0.2123,0.0007,-0.33,0.7876
normal_005.jpg,normal,1,0.1297,0.155,0.1424,0.0253,-6.95,0.8577
normal_006.jpg,normal,1,0.2403,0.2222,0.2313,0.0181,1.97,0.7688
normal_007.jpg,normal,1,0.4384,0.3313,0.3849,0.1071,-1.16,0.6151
normal_008.jpg,normal,1,0.3172,0.3785,0.3478,0.0613,-4.33,0.6522
normal_009.jpg,normal,1,0.2678,0.3126,0.2902,0.0448,-3.01,0.7098
normal_010.jpg,normal,1,0.3049,0.3417,0.3233,0.0368,1.92,0.6767
normal_011.jpg,normal,1,0.3038,0.3905,0.3472,0.0867,-3.27,0.6528
normal_012.jpg,normal,1,0.3512,0.3579,0.3546,0.0067,-3.27,0.6454
normal_013.jpg,normal,1,0.4693,0.4623,0.4658,0.007,-1.51,0.5342
normal_014.jpg,normal,1,0.2241,0.1784,0.2012,0.0457,-3.55,0.7988
normal_015.jpg,normal,1,0.2541,0.2705,0.2623,0.0164,-1.28,0.7377
normal_016.jpg,normal,1,0.2209,0.2216,0.2213,0.0007,8.91,0.7788
normal_017.jpg,normal,1,0.3682,0.3797,0.374,0.0115,7.56,0.626
normal_018.jpg,normal,1,0.3349,0.2942,0.3145,0.0407,-2.06,0.6855
normal_019.jpg,normal,1,0.4352,0.4445,0.4398,0.0093,0.25,0.5602
normal_020.jpg,normal,1,0.2604,0.3021,0.2812,0.0417,1.78,0.7188
